phone_id,n_network_technology,n_body_weight,n_display_type,n_display_size,n_micro_sdcard,n_sound_3p5mm,n_bluetooth,n_gps,n_comms_usb,n_usb_conn,n_fingerprint,n_android_ver,n_main_camera_resolution,n_main_camera_af,n_main_camera_ois,n_battery_capacity,n_total_cpu_speed,n_internal_memory,n_ram
254,4,160,2,5,1,1,4,1,2,2,0,4.2,5,0,0,1950,4.8,4,1
255,3,137,0,4.5,1,1,4,1,2,2,0,4.4,13,1,0,2110,4.8,16,1
256,3,150,2,5,1,1,4,1,2,2,0,4.2,8,1,0,2000,11.2,4,1
257,4,160,0,5,1,1,4,1,2,2,0,4.4,4,1,0,2600,9.2,32,2
258,3,165,0,5.5,1,1,4,1,2,2,0,4.4,13,1,0,2600,6.4,8,1.5
259,4,143,2,4.7,1,1,4,1,2,2,0,4.4,8,1,0,2040,4.8,8,1
260,4,130,0,4.3,1,1,4,1,2,2,0,4.1,8,1,0,2100,2.4,8,1
261,4,149,2,5,1,1,4,1,2,2,0,4.1,8,1,0,2100,4.8,8,1
262,4,149,2,5,1,1,4,1,2,2,0,4.1,8,1,0,2100,4.8,8,1
263,4,150,2,6.09,1,1,4.2,1,2,2,0,9,13,1,0,3020,8,32,3
264,4,150,2,6.09,1,1,4.2,1,2,2,1,9,13,1,0,3020,8,32,2
265,4,142,0,5.45,1,1,4.2,1,2,2,0,8.1,8,1,0,3020,6,16,1
266,4,475,2,10.1,1,1,4.2,1,2,3,1,8,8,1,0,7500,18.4,64,4
267,4,142,0,5.45,1,1,4.2,1,2,2,0,8.1,13,1,0,3020,6,16,2
268,4,175,2,5,1,1,4,1,2,2,0,8,8,1,0,2280,4.4,8,1
269,4,150,2,5.7,1,1,4.2,1,2,2,1,8,13,1,0,3000,5.6,32,3
270,4,150,2,5.7,1,1,4.2,1,2,2,0,8,13,1,0,3000,5.6,16,2
271,4,155,2,5.99,1,1,4.2,1,2,2,1,8,13,1,0,3000,11.2,16,2
272,4,145,2,5,1,1,4.1,1,2,2,1,7,13,1,0,3020,5.6,16,2
273,4,165,2,5.5,1,1,4.1,1,2,2,1,7,12,1,0,4000,11.2,32,3
